год	3727.5	28	
77  	улица	337.8	292	
78  	вечер	335.4	295	
79  	качество	331.7	298	
80  	мысль	331.6	299	
81  	дорога	330.1	300	
82  	мать	330.1	301	
83  	действие	329.3	302	
84  	месяц	328.0	303	
85  	государство	326.4	305	
86  	язык	324.9	306	
87  	любовь	323.9	307	
88  	взгляд	323.8	308	
89  	мама	322.6	309	
90  	век	317.4	314	
91  	школа	316.0	315	
92  	цель	315.5	318	
93  	общество	314.7	320	
94  	деятельность	313.5	322	
95  	организация	312.4	323	
96  	президент	311.0	326	
97  	комната	310.7	327	
98  	порядок	307.6	328	
99  	момент	306.8	329	
100  	театр	305.3	330	
101  	письмо	304.3	333	
102  	утро	301.3	336	
103  	помощь	300.1	338	
104  	ситуация	298.8	339	
105  	роль	297.9	340	
106  	рубль	296.4	343	
107  	смысл	294.6	346	
108  	состояние	294.4	347	
109  	квартира	290.9	350	
110  	орган	288.4	354	
111  	внимание	286.0	355	
112  	тело	285.9	356	
113  	труд	285.9	357	
114  	сын	285.1	360	
115  	мера	284.3	361	
116  	смерть	284.1	363	
117  	рынок	283.3	365	
118  	программа	282.6	366	
119  	задача	282.4	367	
120  	предприятие	281.6	368	
121  	окно	280.8	370	
122  	разговор	278.3	374	
123  	правительство	277.7	376	
124  	семья	276.6	378	
125  	производство	275.6	380	
126  	информация	269.2	388	
127  	положение	268.2	390	
128  	центр	265.9	394	
129  	ответ	263.3	396	
130  	муж	263.0	397	
131  	автор	262.1	398	
132  	стена	261.0	400	
133  	интерес	260.6	403	
134  	федерация	258.9	405	
135  	правило	258.8	406	
136  	управление	256.5	410	
137  	мужчина	253.2	416	
138  	идея	250.8	419	
139  	партия	250.4	420	
140  	совет	245.5	430	
141  	счет	245.4	431	
142  	сердце	245.1	432	
143  	движение	244.7	433	
144  	вещь	242.5	434	
145  	материал	242.4	435	
146  	неделя	242.2	436	
147  	чувство	242.2	437	
148  	глава	240.2	443	
149  	наука	239.0	446	
150  	ряд	238.0	448	
151  	газета	237.5	449	
152  	причина	237.2	450	
153  	плечо	236.4	452	
154  	цена	236.1	454	
155  	план	235.3	455	
156  	речь	234.2	457	
157  	точка	232.2	460	
158  	основа	231.0	461	
159  	товарищ	230.6	462	
160  	культура	230.2	463	
161  	данные	229.0	469	
162  	мнение	228.4	471	
163  	документ	226.8	474	
164  	институт	226.5	475	
165  	ход	226.5	476	
166  	проект	225.9	479	
167  	встреча	224.9	481	
168  	директор	222.2	484	
169  	срок	219.7	494	
170  	палец	219.1	495	
171  	опыт	218.8	496	
172  	служба	218.1	500	
173  	судьба	213.9	507	
174  	девушка	213.3	509	
175  	очередь	212.5	511	
176  	лес	211.5	512	
177  	состав	209.8	517	
178  	член	207.4	522	
179  	количество	206.7	525	
180  	событие	206.5	527	
181  	объект	206.4	528	
182  	зал	206.3	529	
183  	создание	206.1	530	
184  	значение	205.1	533	
185  	период	204.2	536	
186  	шаг	203.8	538	
187  	брат	203.0	542	
188  	искусство	202.6	543	
189  	структура	202.1	546	
190  	номер	201.2	548	
191  	пример	201.2	550	
192  	исследование	200.5	552	
193  	гражданин	199.4	553	
194  	игра	199.0	556	
195  	начальник	198.9	557	
196  	рост	198.4	559	
197  	тема	198.1	562	
198  	принцип	197.9	563	
199  	метод	197.0	569	
200  	тип	197.0	570	
201  	фильм	196.8	571	
202  	край	194.0	576	
203  	гость	192.7	579	
204  	воздух	192.2	583	
205  	характер	190.7	588	
206  	борьба	190.5	589	
207  	использование	190.3	590	
208  	размер	189.3	593	
209  	образование	188.9	595	
210  	мальчик	188.0	597	
211  	кровь	187.8	598	
212  	район	187.8	599	
213  	небо	187.6	600	
214  	армия	186.4	602	
215  	класс	185.8	603	
216  	представитель	185.7	604	
217  	участие	185.6	605	
218  	девочка	185.1	606	
219  	политика	184.9	607	
220  	герой	184.0	609	
221  	картина	183.9	610	
222  	доллар	183.1	612	
223  	спина	183.1	613	
224  	территория	182.9	614	
225  	пол	181.9	616	
226  	поле	180.2	619	
227  	изменение	179.8	621	
228  	направление	179.2	624	
229  	рисунок	179.2	625	
230  	течение	179.2	626	
231  	церковь	178.6	628	
232  	банк	178.1	629	
233  	сцена	177.2	633	
234  	население	176.5	634	
235  	большинство	176.1	635	
236  	музыка	175.7	639	
237  	правда	175.5	641	
238  	свобода	174.9	644	
239  	память	174.5	645	
240  	команда	174.2	648	
241  	союз	173.9	650	
242  	врач	173.1	653	
243  	договор	172.8	655	
244  	дерево	171.9	659	
245  	факт	171.3	661	
246  	хозяин	170.6	664	
247  	природа	169.9	668	
248  	угол	168.1	674	
249  	телефон	167.8	676	
250  	позиция	167.6	677	
251  	двор	166.9	681	
252  	писатель	166.3	685	
253  	самолет	166.1	686	
254  	объем	165.8	687	
255  	род	165.5	689	
256  	солнце	165.2	690	
257  	вера	165.1	691	
258  	берег	164.7	692	
259  	спектакль	164.7	693	
260  	фирма	164.4	694	
261  	способ	164.2	695	
262  	завод	164.0	696	
263  	цвет	163.6	697	
264  	журнал	162.0	699	
265  	руководитель	162.0	700	
266  	специалист	161.9	701	
267  	оценка	161.4	706	
268  	регион	160.3	713	
269  	песня	160.1	715	
270  	процент	160.1	716	
271  	родитель	160.0	717	
272  	море	159.5	720	
273  	требование	159.4	722	
274  	основание	158.8	726	
275  	половина	158.8	727	
276  	роман	157.7	733	
277  	круг	157.4	734	
278  	анализ	157.0	735	
279  	стихи	157.0	736	
280  	автомобиль	156.9	737	
281  	экономика	156.3	739	
282  	литература	156.0	740	
283  	бумага	155.8	741	
284  	поэт	155.1	747	
285  	степень	155.0	749	
286  	господин	154.6	752	
287  	надежда	154.5	753	
288  	предмет	154.4	756	
289  	вариант	154.1	759	
290  	министр	154.1	760	
291  	граница	153.7	763	
292  	дух	153.5	765	
293  	модель	153.5	766	
294  	операция	153.3	767	
295  	пара	152.7	768	
296  	сон	152.7	769	
297  	название	151.8	771	
298  	ум	151.5	772	
299  	повод	151.2	773	
300  	старик	151.0	774	
301  	миллион	150.4	777	
302  	успех	149.5	780	
303  	счастье	149.2	784	
304  	ребята	148.9	787	
305  	кабинет	148.5	789	
306  	магазин	147.2	794	
307  	пространство	147.2	795	
308  	выход	147.0	796	
309  	удар	146.8	798	
310  	база	146.7	799	
311  	знание	146.4	800	
312  	текст	146.2	801	
313  	защита	145.9	804	
314  	руководство	145.7	806	
315  	площадь	145.2	808	
316  	сознание	145.2	809	
317  	возраст	144.5	812	
318  	участник	144.2	815	
319  	участок	144.2	816	
320  	пункт	144.0	818	
321  	линия	143.7	823	
322  	желание	143.6	825	
323  	папа	143.4	826	
324  	доктор	143.1	829	
325  	губа	143.0	830	
326  	дочь	142.4	834	
327  	среда	142.4	836	
328  	председатель	142.3	837	
329  	представление	142.2	838	
330  	солдат	142.2	839	
331  	художник	142.2	840	
332  	волос	141.8	842	
333  	оружие	141.8	843	
334  	соответствие	141.0	845	
335  	ветер	140.3	847	
336  	парень	140.3	849	
337  	зрение	140.2	851	
338  	генерал	140.0	853	
339  	огонь	139.8	855	
340  	понятие	139.4	858	
341  	строительство	139.4	859	
342  	ухо	139.3	860	
343  	грудь	138.8	862	
344  	нос	138.8	863	
345  	страх	138.4	868	
346  	услуга	138.3	869	
347  	содержание	137.3	873	
348  	радость	137.2	874	
349  	безопасность	137.1	875	
350  	продукт	136.7	877	
351  	комплекс	136.3	879	
352  	бизнес	136.2	880	
353  	сад	135.8	884	
354  	сотрудник	135.1	888	
355  	лето	135.0	889	
356  	курс	134.5	893	
357  	предложение	134.5	895	
358  	рот	133.6	901	
359  	технология	133.5	903	
360  	реформа	133.1	906	
361  	отсутствие	132.4	907	
362  	собака	132.2	909	
363  	камень	131.9	910	
364  	будущее	131.4	911	
365  	рассказ	131.3	913	
366  	контроль	131.2	914	
367  	река	131.0	916	
368  	продукция	130.8	918	
369  	сумма	130.6	919	
370  	техника	130.5	920	
371  	здание	129.9	927	
372  	сфера	129.5	928	
373  	необходимость	129.1	932	
374  	фонд	128.6	934	
375  	подготовка	127.9	937	
376  	лист	127.6	939	
377  	республика	127.4	942	
378  	хозяйство	127.2	943	
379  	воля	126.4	948	
380  	бюджет	126.0	950	
381  	снег	125.2	953	
382  	деревня	125.1	954	
383  	мужик	124.7	956	
384  	элемент	124.4	959	
385  	обстоятельство	124.2	960	
386  	немец	124.1	962	
387  	победа	124.0	964	
388  	источник	123.7	965	
389  	звезда	122.7	975	
390  	выбор	122.0	977	
391  	масса	121.7	979	
392  	итог	121.5	981	
393  	сестра	121.3	982	
394  	практика	120.7	986	
395  	проведение	120.6	990	
396  	карман	120.5	991	
397  	слава	120.2	996	
398  	кухня	120.1	997	
399  	определение	120.1	998	
400  	функция	119.6	1001	
401  	войско	119.4	1002	
402  	комиссия	119.3	1003	
403  	применение	119.3	1004	
404  	капитан	119.0	1005	
405  	работник	119.0	1006	
406  	обеспечение	118.8	1009	
407  	офицер	118.7	1010	
408  	фамилия	118.1	1013	
409  	предел	118.0	1014	
410  	выборы	117.7	1017	
411  	ученый	117.4	1020	
412  	бутылка	117.1	1024	
413  	бой	117.0	1025	
414  	теория	116.5	1029	
415  	зона	116.4	1030	
416  	отдел	116.2	1031	
417  	зуб	116.0	1032	
418  	разработка	115.9	1033	
419  	личность	115.6	1039	
420  	гора	115.5	1040	
421  	товар	115.5	1042	
422  	метр	115.2	1046	
423  	праздник	115.0	1049	
424  	влияние	114.9	1050	
425  	читатель	114.7	1052	
426  	удовольствие	114.5	1054	
427  	актер	114.4	1055	
428  	слеза	114.2	1056	
429  	ответственность	113.8	1059	
430  	учитель	113.8	1060	
431  	акт	113.6	1061	
432  	боль	113.3	1065	
433  	множество	113.3	1066	
434  	особенность	113.0	1068	
435  	показатель	112.9	1070	
436  	корабль	112.5	1072	
437  	звук	112.4	1074	
438  	впечатление	112.3	1077	
439  	частность	112.0	1079	
440  	детство	111.9	1080	
441  	вывод	111.8	1081	
442  	профессор	111.8	1082	
443  	доля	111.4	1084	
444  	норма	111.3	1085	
445  	прошлое	111.2	1087	
446  	командир	110.9	1089	
447  	коридор	110.8	1090	
448  	поддержка	110.6	1091	
449  	рамка	110.6	1092	
450  	враг	110.3	1096	
451  	этап	110.3	1098	
452  	черт	110.2	1099	
453  	дед	110.1	1100	
454  	собрание	109.9	1102	
455  	прием	109.8	1103	
456  	болезнь	109.6	1105	
457  	клетка	109.6	1106	
458  	кожа	109.5	1107	
459  	заявление	109.3	1108	
460  	попытка	109.1	1110	
461  	сравнение	109.1	1111	
462  	расчет	108.9	1113	
463  	депутат	108.7	1115	
464  	комитет	108.1	1123	
465  	знак	108.0	1124	
466  	дядя	107.5	1128	
467  	учет	107.4	1129	
468  	хлеб	107.4	1130	
469  	чай	106.8	1136	
470  	режим	106.7	1137	
471  	целое	106.6	1138	
472  	вирус	106.5	1139	
473  	выражение	106.4	1142	
474  	здоровье	106.0	1146	
475  	зима	106.0	1147	
476  	десяток	105.7	1150	
477  	глубина	105.6	1151	
478  	сеть	105.5	1152	
479  	студент	105.4	1153	
480  	секунда	105.2	1155	
481  	скорость	105.2	1156	
482  	поиск	105.0	1157	
483  	суть	104.9	1159	
484  	налог	104.7	1160	
485  	ошибка	104.4	1161	
486  	доход	103.6	1167	
487  	режиссер	103.5	1169	
488  	поверхность	103.4	1170	
489  	ощущение	103.3	1171	
490  	карта	103.0	1173	
491  	клуб	103.0	1174	
492  	станция	103.0	1176	
493  	революция	102.9	1177	
494  	колено	102.8	1178	
495  	министерство	102.8	1179	
496  	стекло	102.8	1180	
497  	этаж	102.7	1181	
498  	высота	101.9	1183	
499  	бабушка	101.8	1185	
500  	трубка	101.7	1188	
501  	газ	101.0	1195	
502  	мастер	100.8	1197	
503  	поведение	100.7	1200	
504  	столица	100.2	1205	
505  	механизм	100.1	1206	
506  	передача	100.1	1207	
507  	способность	99.9	1210	
508  	подход	99.8	1211	
509  	энергия	99.7	1214	
510  	существование	99.6	1216	
511  	исполнение	99.5	1217	
512  	кино	99.4	1219	
513  	сожаление	99.4	1220	
514  	заместитель	99.3	1221	
515  	ресурс	98.7	1226	
516  	акция	98.5	1228	
517  	рождение	98.5	1230	
518  	администрация	98.3	1233	
519  	стоимость	98.1	1237	
520  	улыбка	98.1	1238	
521  	артист	98.0	1239	
522  	сосед	97.8	1246	
523  	фраза	97.8	1247	
524  	фигура	97.5	1249	
525  	субъект	97.3	1251	
526  	реакция	97.2	1253	
527  	список	97.2	1254	
528  	фотография	97.2	1255	
529  	журналист	97.0	1256	
530  	май	97.0	1257	
531  	нарушение	96.8	1260	
532  	заседание	96.7	1261	
533  	толпа	96.7	1262	
534  	больница	96.6	1263	
535  	существо	96.6	1264	
536  	свойство	96.4	1268	
537  	долг	96.2	1269	
538  	поколение	96.2	1270	
539  	животное	95.9	1272	
540  	схема	95.9	1273	
541  	усилие	95.9	1274	
542  	отличие	95.8	1275	
543  	остров	95.7	1278	
544  	противник	95.5	1280	
545  	волна	95.4	1281	
546  	реализация	95.1	1285	
547  	страница	95.1	1286	
548  	формирование	95.0	1287	
549  	житель	94.9	1288	
550  	красота	94.7	1291	
551  	птица	94.5	1294	
552  	растение	94.4	1297	
553  	тень	94.3	1298	
554  	явление	94.3	1299	
555  	храм	94.2	1300	
556  	запах	94.1	1301	
557  	водка	93.9	1303	
558  	наличие	93.9	1304	
559  	ужас	93.8	1307	
560  	одежда	93.7	1308	
561  	кресло	93.6	1310	
562  	больной	93.4	1311	
563  	поезд	93.3	1312	
564  	университет	93.3	1313	
565  	традиция	93.1	1317	
566  	адрес	92.7	1318	
567  	декабрь	92.7	1319	
568  	ладонь	92.7	1320	
569  	сведение	92.5	1322	
570  	цветок	92.4	1324	
571  	лидер	92.2	1327	
572  	октябрь	92.2	1328	
573  	занятие	92.1	1329	
574  	сентябрь	92.1	1332	
575  	помещение	91.9	1333	
576  	январь	91.9	1336	
577  	зритель	91.7	1338	
578  	редакция	91.5	1341	
579  	стиль	91.4	1344	
580  	весна	91.3	1345	
581  	фактор	91.2	1347	
582  	август	91.0	1348	
583  	известие	91.0	1349	
584  	зависимость	90.9	1350	
585  	охрана	90.9	1351	
586  	оборудование	90.5	1354	
587  	концерт	90.2	1356	
588  	отделение	90.2	1357	
589  	расход	90.2	1358	
590  	выставка	89.9	1360	
591  	милиция	89.9	1361	
592  	переход	89.3	1366	
593  	эпоха	89.0	1368	
594  	запад	88.9	1369	
595  	произведение	88.9	1371	
596  	родина	88.9	1372	
597  	собственность	88.9	1373	
598  	тайна	88.9	1374	
599  	трава	88.7	1378	
600  	лагерь	88.6	1380	
601  	имущество	88.4	1382	
602  	кровать	88.4	1384	
603  	аппарат	88.2	1390	
604  	середина	88.2	1393	
605  	март	88.1	1396	
606  	клиент	87.9	1398	
607  	дама	87.7	1400	
608  	фронт	87.7	1403	
609  	отрасль	87.6	1405	
610  	стул	87.6	1406	
611  	беседа	87.5	1407	
612  	законодательство	87.3	1414	
613  	продажа	87.3	1415	
614  	повышение	87.2	1416	
615  	музей	87.0	1420	
616  	след	86.9	1423	
617  	полковник	86.8	1425	
618  	сомнение	86.8	1427	
619  	понимание	86.7	1428	
620  	апрель	86.2	1433	
621  	князь	86.0	1434	
622  	рыба	86.0	1436	
623  	дума	85.5	1442	
624  	кодекс	85.4	1445	
625  	сутки	85.4	1446	
626  	чудо	85.4	1447	
627  	шея	85.3	1449	
628  	судья	85.2	1451	
629  	крыша	85.0	1456	
630  	настроение	85.0	1457	
631  	поток	84.8	1461	
632  	должность	84.6	1464	
633  	преступление	84.6	1465	
634  	мозг	84.5	1467	
635  	честь	84.4	1470	
636  	пост	84.3	1471	
637  	еврей	84.1	1474	
638  	июнь	84.0	1477	
639  	сотня	84.0	1479	
640  	дождь	83.2	1490	
641  	лестница	83.1	1492	
642  	дача	82.8	1497	
643  	установка	82.6	1500	
644  	появление	82.5	1501	
645  	получение	82.3	1502	
646  	образец	82.1	1505	
647  	труба	82.1	1506	
648  	главное	82.0	1507	
649  	осень	81.8	1512	
650  	костюм	81.3	1518	
651  	баба	81.2	1522	
652  	ценность	81.2	1523	
653  	обязанность	81.1	1524	
654  	пьеса	81.1	1525	
655  	таблица	81.0	1527	
656  	вино	80.9	1528	
657  	воспоминание	80.9	1529	
658  	лошадь	80.9	1530	
659  	коллега	80.6	1534	
660  	организм	80.6	1535	
661  	ученик	80.4	1537	
662  	учреждение	80.4	1538	
663  	открытие	80.2	1540	
664  	том	80.0	1542	
665  	черта	80.0	1543	
666  	характеристика	79.9	1546	
667  	выполнение	79.6	1549	
668  	оборона	79.6	1550	
669  	выступление	79.5	1551	
670  	температура	79.5	1552	
671  	перспектива	79.4	1554	
672  	подруга	79.4	1556	
673  	приказ	79.4	1557	
674  	жертва	79.3	1559	
675  	ресторан	79.3	1562	
676  	километр	79.2	1563	
677  	спор	79.2	1565	
678  	вкус	78.9	1569	
679  	признак	78.9	1571	
680  	промышленность	78.9	1572	
681  	американец	78.8	1574	
682  	лоб	78.7	1575	
683  	заключение	78.6	1576	
684  	восток	78.5	1578	
685  	исключение	78.3	1580	
686  	ключ	78.0	1584	
687  	постановление	78.0	1585	
688  	слой	77.6	1589	
689  	бок	77.4	1590	
690  	июль	77.0	1595	
691  	перевод	77.0	1597	
692  	секретарь	77.0	1598	
693  	кусок	76.8	1599	
694  	слух	76.7	1601	
695  	польза	76.6	1605	
696  	звонок	76.5	1606	
697  	обстановка	76.2	1608	
698  	чиновник	75.9	1613	
699  	соглашение	75.8	1615	
700  	деталь	75.7	1616	
701  	русский	75.7	1617	
702  	тишина	75.6	1619	
703  	зарплата	75.5	1620	
704  	билет	75.4	1622	
705  	подарок	75.4	1624	
706  	тюрьма	75.4	1625	
707  	ящик	75.4	1626	
708  	конкурс	75.3	1627	
709  	книжка	75.1	1629	
710  	изучение	75.0	1631	
711  	просьба	74.7	1636	
712  	царь	74.7	1637	
713  	публика	74.6	1638	
714  	смех	74.6	1639	
715  	сообщение	74.5	1641	
716  	угроза	74.5	1642	
717  	беда	74.4	1643	
718  	блок	73.7	1650	
719  	достижение	73.7	1651	
720  	назначение	73.7	1652	
721  	реклама	73.7	1653	
722  	портрет	73.6	1656	
723  	масло	73.0	1662	
724  	стакан	72.8	1664	
725  	урок	72.6	1668	
726  	часы	72.5	1670	
727  	крик	72.4	1672	
728  	творчество	72.3	1676	
729  	телевизор	72.3	1677	
730  	инструмент	72.1	1679	
731  	концепция	71.9	1681	
732  	лейтенант	71.9	1683	
733  	экран	71.9	1684	
734  	дно	71.8	1685	
735  	реальность	71.7	1686	
736  	канал	71.5	1689	
737  	мясо	71.4	1691	
738  	знакомый	71.3	1692	
739  	щека	71.3	1693	
740  	конфликт	71.1	1697	
741  	переговоры	71.1	1698	
742  	запись	71.0	1701	
743  	вагон	70.9	1703	
744  	площадка	70.6	1706	
745  	последствие	70.6	1707	
746  	сотрудничество	70.6	1709	
747  	зеркало	70.5	1711	
748  	тон	70.5	1712	
749  	академия	70.3	1715	
750  	палата	70.2	1721	
751  	потребность	70.2	1722	
752  	ноябрь	70.1	1725	
753  	увеличение	70.0	1726	
754  	дурак	69.8	1728	
755  	поездка	69.8	1730	
756  	обед	69.7	1731	
757  	потеря	69.7	1733	
758  	февраль	69.7	1736	
759  	мероприятие	69.5	1738	
760  	парк	69.5	1739	
761  	принятие	69.5	1740	
762  	устройство	69.5	1741	
763  	вещество	69.3	1742	
764  	категория	69.2	1747	
765  	сезон	69.2	1749	
766  	гостиница	68.9	1754	
767  	издание	68.9	1755	
768  	объединение	68.6	1761	
769  	темнота	68.6	1763	
770  	человечество	68.6	1764	
771  	колесо	68.4	1768	
772  	опасность	68.4	1769	
773  	разрешение	68.3	1771	
774  	воздействие	68.0	1772	
775  	коллектив	68.0	1773	
776  	камера	67.9	1774	
777  	запас	67.8	1776	
778  	следствие	67.8	1778	
779  	длина	67.7	1779	
780  	крыло	67.6	1782	
781  	округ	67.6	1783	
782  	фон	67.5	1785	
783  	кандидат	67.4	1786	
784  	родственник	67.4	1787	
785  	давление	67.2	1791	
786  	присутствие	67.2	1794	
787  	взаимодействие	67.1	1795	
788  	доска	67.1	1797	
789  	партнер	67.1	1799	
790  	двигатель	67.0	1800	
791  	шум	66.9	1801	
792  	достоинство	66.8	1802	
793  	грех	66.7	1805	
794  	нож	66.6	1807	
795  	полет	66.5	1808	
796  	страсть	66.5	1811	
797  	испытание	66.1	1816	
798  	TRUE	66.1	1818	
799  	оплата	66.0	1820	
800  	разница	66.0	1821	
801  	водитель	65.9	1823	
802  	пакет	65.8	1826	
803  	снижение	65.8	1827	
804  	формула	65.7	1829	
805  	живот	65.6	1831	
806  	капитал	65.6	1832	
807  	мост	65.4	1838	
808  	новость	65.3	1841	
809  	эффект	65.3	1842	
810  	вход	65.2	1843	
811  	губернатор	65.2	1845	
812  	доклад	65.1	1850	
813  	смена	65.1	1853	
814  	убийство	65.1	1854	
815  	эксперт	65.1	1855	
816  	автобус	64.8	1862	
817  	платье	64.8	1863	
818  	кадр	64.5	1867	
819  	тетя	64.5	1869	
820  	общение	64.4	1872	
821  	психология	64.4	1874	
822  	лев	64.3	1875	
823  	порог	64.2	1877	
824  	проверка	64.2	1878	
825  	процедура	64.2	1880	
826  	рабочий	64.2	1881	
827  	ремонт	64.2	1882	
828  	обращение	64.1	1885	
829  	обучение	64.1	1886	
830  	ожидание	64.0	1888	
831  	памятник	63.8	1892	
832  	корень	63.7	1893	
833  	наблюдение	63.7	1894	
834  	буква	63.5	1896	
835  	доказательство	63.5	1898	
836  	признание	63.5	1901	
837  	постель	63.4	1904	
838  	штаб	63.4	1906	
839  	владелец	63.2	1908	
840  	компьютер	63.2	1909	
841  	инженер	63.1	1912	
842  	старуха	63.0	1918	
843  	лодка	62.9	1919	
844  	ракета	62.9	1920	
845  	серия	62.8	1922	
846  	шутка	62.7	1924	
847  	вершина	62.6	1925	
848  	выпуск	62.5	1927	
849  	кулак	62.5	1928	
850  	лед	62.5	1929	
851  	торговля	62.5	1931	
852  	нефть	62.3	1935	
853  	молодежь	62.2	1937	
854  	цифра	62.2	1938	
855  	корпус	62.1	1939	
856  	недостаток	62.1	1941	
857  	сапог	62.0	1943	
858  	сущность	62.0	1945	
859  	талант	62.0	1946	
860  	эффективность	61.8	1949	
861  	кофе	61.6	1952	
862  	полоса	61.6	1954	
863  	основное	61.5	1960	
864  	рассмотрение	61.4	1964	
865  	сбор	61.3	1968	
866  	штат	61.3	1969	
867  	следователь	61.2	1971	
868  	жилье	61.1	1972	
869  	мешок	61.1	1973	
870  	описание	61.0	1975	
871  	куст	60.9	1977	
872  	отказ	60.9	1978	
873  	замок	60.8	1980	
874  	редактор	60.6	1983	
875  	дворец	60.5	1985	
876  	забота	60.5	1986	
877  	пиво	60.3	1988	
878  	диван	60.1	1991	
879  	столик	60.0	1995	
880  	эксперимент	59.9	1998	
881  	печать	59.6	2002	
882  	кольцо	59.5	2006	
883  	пистолет	59.4	2010	
884  	воспитание	59.3	2012	
885  	начальство	59.3	2013	
886  	профессия	59.3	2015	
887  	ворота	59.2	2018	
888  	добро	59.0	2019	
889  	дружба	59.0	2020	
890  	покой	59.0	2021	
891  	риск	59.0	2023	
892  	окончание	58.9	2025	
893  	дым	58.8	2027	
894  	брак	58.6	2031	
895  	величина	58.6	2032	
896  	записка	58.6	2034	
897  	инициатива	58.6	2035	
898  	совесть	58.6	2036	
899  	активность	58.5	2038	
900  	кость	58.5	2039	
901  	спорт	58.5	2041	
902  	кредит	58.2	2048	
903  	господь	58.0	2051	
904  	майор	58.0	2052	
905  	конференция	57.9	2054	
906  	потолок	57.9	2056	
907  	библиотека	57.7	2059	
908  	помощник	57.7	2063	
909  	конструкция	57.6	2064	
910  	отдых	57.6	2065	
911  	ручка	57.6	2067	
912  	металл	57.5	2069	
913  	молоко	57.4	2072	
914  	прокурор	57.4	2073	
915  	транспорт	57.4	2074	
916  	поэзия	57.3	2076	
917  	соединение	57.3	2077	
918  	краска	57.1	2080	
919  	расстояние	57.1	2082	
920  	мечта	57.0	2086	
921  	село	57.0	2088	
922  	еда	56.9	2089	
923  	зло	56.7	2094	
924  	подразделение	56.7	2095	
925  	сюжет	56.6	2099	
926  	рубеж	56.5	2100	
927  	сигнал	56.5	2101	
928  	атмосфера	56.4	2102	
929  	крест	56.4	2103	
930  	вес	56.3	2105	
931  	взрыв	56.3	2106	
932  	контакт	56.3	2107	
933  	сигарета	56.3	2109	
934  	восторг	56.2	2111	
935  	золото	56.2	2112	
936  	почва	56.2	2116	
937  	премия	56.2	2117	
938  	король	56.1	2120	
939  	подъезд	56.1	2121	
940  	шанс	56.1	2122	
941  	автомат	56.0	2123	
942  	заказ	56.0	2124	
943  	мальчишка	56.0	2125	
944  	очки	56.0	2127	
945  	миг	55.9	2129	
946  	штука	55.9	2132	
947  	чтение	55.8	2134	
948  	поселок	55.7	2136	
949  	свидетель	55.7	2138	
950  	ставка	55.7	2139	
951  	сумка	55.5	2145	
952  	удивление	55.5	2146	
953  	хвост	55.4	2149	
954  	песок	55.3	2150	
955  	поворот	55.3	2151	
956  	возвращение	55.2	2153	
957  	мгновение	55.1	2158	
958  	статус	55.1	2160	
959  	озеро	54.9	2166	
960  	строй	54.8	2170	
961  	параметр	54.7	2172	
962  	сказка	54.7	2174	
963  	тенденция	54.7	2175	
964  	вина	54.6	2176	
965  	дыхание	54.6	2177	
966  	версия	54.4	2179	
967  	масштаб	54.4	2181	
968  	монастырь	54.2	2186	
969  	хозяйка	54.2	2188	
970  	дочка	54.1	2189	
971  	танец	54.1	2192	
972  	эксплуатация	54.0	2196	
973  	коммунист	53.9	2197	
974  	пенсия	53.9	2198	
975  	приятель	53.9	2199	
976  	объяснение	53.6	2204	
977  	набор	53.5	2206	
978  	производитель	53.5	2207	
979  	пыль	53.5	2208	
